parking_name,capacity,free_spaces,occupied,occupancy_pct,status,timestamp,address,lot_type,url,coords,captured_at
City,1114.0,979,135.0,12.118491921005386,offen,2026-01-19T21:28:00+01:00,Schanzenstrasse 48,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/city,"{'lon': 7.5824076, 'lat': 47.561101}",2026-01-19T15:28:58.593836
Europe,120.0,80,40.0,33.33333333333333,offen,2026-01-19T21:28:00+01:00,Hammerstrasse 68,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/europe,"{'lon': 7.5967098, 'lat': 47.5630411}",2026-01-19T15:28:58.593836
Rebgasse,250.0,194,56.0,22.4,offen,2026-01-19T21:28:00+01:00,Rebgasse 20,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/rebgasse,"{'lon': 7.594263, 'lat': 47.5607142}",2026-01-19T15:28:58.593836
Aeschen,95.0,86,9.0,9.473684210526317,offen,2026-01-19T21:28:00+01:00,Aeschengraben 9,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/aeschen,"{'lon': 7.5943046, 'lat': 47.5504299}",2026-01-19T15:28:58.593836
Claramatte,120.0,28,92.0,76.66666666666667,offen,2026-01-19T21:28:00+01:00,Klingentalstrasse 25,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/claramatte,"{'lon': 7.5946604, 'lat': 47.5639644}",2026-01-19T15:28:58.593836
Centralbahn,287.0,280,7.0,2.4390243902439024,offen,2026-01-19T21:28:00+01:00,Gartenstrasse 150,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/centralbahn,"{'lon': 7.5922975, 'lat': 47.547299}",2026-01-19T15:28:58.593836
Bahnhof Süd,100.0,79,21.0,21.0,offen,2026-01-19T21:28:00+01:00,Güterstrasse 115,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/bahnhofsued,"{'lon': 7.5884556, 'lat': 47.5458851}",2026-01-19T15:28:58.593836
Elisabethen,840.0,682,158.0,18.80952380952381,offen,2026-01-19T21:28:00+01:00,Steinentorberg 5,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/elisabethen,"{'lon': 7.5874932, 'lat': 47.5506254}",2026-01-19T15:28:58.593836
Steinen,526.0,385,141.0,26.806083650190114,offen,2026-01-19T21:28:00+01:00,Steinenschanze 5,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/steinen,"{'lon': 7.5858936, 'lat': 47.5524554}",2026-01-19T15:28:58.593836
Storchen,142.0,65,77.0,54.22535211267606,offen,2026-01-19T21:28:00+01:00,Fischmarkt 10,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/storchen,"{'lon': 7.58658, 'lat': 47.5592347}",2026-01-19T15:28:58.593836
Bad. Bahnhof,750.0,298,452.0,60.266666666666666,offen,2026-01-19T21:28:00+01:00,Schwarzwaldstrasse 160,Parkhaus,https://www.parkleitsystem-basel.ch/parkhaus/badbahnhof,"{'lon': 7.6089067, 'lat': 47.5651794}",2026-01-19T15:28:58.593836
